AcademicYear,OffenseCount,OffenseType,CourseLevel,Campus,Faculty,Outcome,Year
2017-18,NO2,PLAG,UG1,OL,ARTS,FAIL,AY2017-18
2017-18,NO1,PLAG,UG1,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,MISC,UG3,KAM,EDSW,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG3,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,OL,SOBE,FAIL,AY2017-18
2017-18,NO1,PLAG,UG2,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG3,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,OL,SCIENCE,FAIL,AY2017-18
2017-18,NO1,PLAG,UG2,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,OL,SOBE,FAIL,AY2017-18
2017-18,NO2,CHEAT,UG3,KAM,ARTS,FAIL,AY2017-18
2017-18,NO1,PLAG,UG4,KAM,EDSW,REME,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,SUSP,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,ARTS,SUSP,AY2017-18
2017-18,NO2,PLAG,UG3,OL,ARTS,REPR,AY2017-18
2017-18,NO2,FABR,UG1,KAM,EDSW,ASM0,AY2017-18
2017-18,NO2,PLAG,UG1,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,EDSW,DISM,AY2017-18
2017-18,NO1,PLAG,UG1,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,SOBE,ASM0,AY2017-18
2017-18,NO2,PLAG,UG2,KAM,ARTS,ASM0,AY2017-18
2017-18,NO2,PLAG,UPREP,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,OL,ARTS,ASM0,AY2017-18
2017-18,NO2,PLAG,UG1,KAM,EDSW,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,OL,EDSW,DISM,AY2017-18
2017-18,NO1,PLAG,UG2,OL,EDSW,REPR,AY2017-18
2017-18,NO1,MISC,UG1,KAM,LAW,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,ARTS,SUSP,AY2017-18
2017-18,NO1,PLAG,UG4,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,FAIL,AY2017-18
2017-18,GT5,PLAG,UG4,OL,SCIENCE,FAIL,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,SOBE,ASM0,AY2017-18
2017-18,DC,CHEAT,UG1,OL,ARTS,REPR,AY2017-18
2017-18,NO1,PLAG,UPREP,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,SOBE,SUSP,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO3,CHEAT,UG1,KAM,SOBE,REPR,AY2017-18
2017-18,NO1,PLAG,UG1,OL,ARTS,REPR,AY2017-18
2017-18,NO1,PLAG,UPREP,OL,SOBE,ASM0,AY2017-18
2017-18,NO2,PLAG,UG1,KAM,SOBE,ASM0,AY2017-18
2017-18,GT5,CHEAT,UG1,OL,SOBE,FAIL,AY2017-18
2017-18,NO1,CHEAT,UG1,KAM,EDSW,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,OL,ARTS,SUSP,AY2017-18
2017-18,NO1,PLAG,UG1,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO3,PLAG,UG3,OL,SOBE,ASM0,AY2017-18
2017-18,NO3,PLAG,UG1,OL,SCIENCE,REPR,AY2017-18
2017-18,NO1,PLAG,UG1,OL,SCIENCE,REPR,AY2017-18
2017-18,NO2,PLAG,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,GT5,PLAG,UPREP,KAM,SOBE,FAIL,AY2017-18
2017-18,NO1,CHEAT,UG1,OL,SOBE,ASM0,AY2017-18
2017-18,DC,PLAG,UG1,OL,SOBE,ASM0,AY2017-18
2017-18,GT5,PLAG,UG2,OL,SOBE,DISM,AY2017-18
2017-18,NO1,MISC,UG2,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,ARTS,ASM0,AY2017-18
2017-18,DC,PLAG,UG1,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO1,MISC,UG1,KAM,SOBE,ASM0,AY2017-18
2017-18,NO4,PLAG,UG3,OL,SOBE,DISM,AY2017-18
2017-18,NO1,PLAG,UG2,OL,ARTS,ASM0,AY2017-18
2017-18,GT5,CHEAT,UG2,OL,EDSW,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG1,OL,ARTS,FAIL,AY2017-18
2017-18,NO4,CHEAT,UG1,KAM,EDSW,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG1,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG2,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG4,KAM,SOBE,ASM0,AY2017-18
2017-18,DC,CHEAT,UPREP,KAM,SOBE,ASM0,AY2017-18
2017-18,NO2,PLAG,UG2,KAM,ARTS,ASM0,AY2017-18
2017-18,DC,PLAG,UG1,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,MISC,UG3,KAM,ARTS,ASM0,AY2017-18
2017-18,NO2,PLAG,UPREP,OL,ARTS,REME,AY2017-18
2017-18,NO1,PLAG,UG1,OL,ARTS,DISM,AY2017-18
2017-18,NO2,CHEAT,UG1,OL,SCIENCE,FAIL,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,CHEAT,GR6,KAM,SOBE,ASM0,AY2017-18
2017-18,NO4,PLAG,UG1,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,MISC,UG2,OL,SOBE,ASM0,AY2017-18
2017-18,NO4,PLAG,UG3,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG4,OL,ARTS,FAIL,AY2017-18
2017-18,NO1,CHEAT,UG2,KAM,ARTS,DISM,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,ARTS,REME,AY2017-18
2017-18,NO4,PLAG,UG1,KAM,SOBE,FAIL,AY2017-18
2017-18,NO1,FABR,UG1,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,MISC,UG2,KAM,SOBE,DISM,AY2017-18
2017-18,NO1,PLAG,UG3,OL,ARTS,REME,AY2017-18
2017-18,DC,PLAG,UG1,KAM,EDSW,ASM0,AY2017-18
2017-18,NO5,PLAG,UG1,OL,EDSW,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,OL,EDSW,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,OL,ARTS,ASM0,AY2017-18
2017-18,NO2,PLAG,UG1,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UPREP,OL,SOBE,ASM0,AY2017-18
2017-18,GT5,PLAG,UG3,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO4,PLAG,UG3,OL,SOBE,FAIL,AY2017-18
2017-18,NO1,MISC,UG1,OL,ARTS,FAIL,AY2017-18
2017-18,NO1,PLAG,UG3,OL,ARTS,REPR,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,ARTS,REME,AY2017-18
2017-18,NO1,CHEAT,UG2,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO4,PLAG,UG1,KAM,SOBE,FAIL,AY2017-18
2017-18,NO2,PLAG,UG3,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG2,OL,ARTS,ASM0,AY2017-18
2017-18,GT5,CHEAT,UG3,OL,SOBE,REPR,AY2017-18
2017-18,NO3,PLAG,UG1,KAM,SCIENCE,REME,AY2017-18
2017-18,NO1,PLAG,UG2,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG4,OL,SOBE,DISM,AY2017-18
2017-18,DC,PLAG,UG4,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO2,PLAG,UG1,OL,SCIENCE,SUSP,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG2,OL,EDSW,ASM0,AY2017-18
2017-18,NO3,MISC,UG4,KAM,ARTS,DISM,AY2017-18
2017-18,NO1,PLAG,UPREP,KAM,ARTS,DISM,AY2017-18
2017-18,NO5,PLAG,UG1,OL,SOBE,DISM,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,FACT,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,MISC,UG1,OL,ARTS,REME,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,FACT,ASM0,AY2017-18
2017-18,NO2,CHEAT,UG1,OL,SOBE,ASM0,AY2017-18
2017-18,NO2,PLAG,UG3,KAM,SOBE,DISM,AY2017-18
2017-18,NO1,CHEAT,UG1,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,CHEAT,UPREP,KAM,SOBE,ASM0,AY2017-18
2017-18,NO3,PLAG,UG1,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,ARTS,ASM0,AY2017-18
2017-18,NO4,PLAG,UG1,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UPREP,OL,SCIENCE,SUSP,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,SCIENCE,REPR,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,ARTS,REME,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,SOBE,ASM0,AY2017-18
2017-18,NO3,PLAG,UG4,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,OL,ARTS,REME,AY2017-18
2017-18,NO1,CHEAT,UG2,KAM,SOBE,DISM,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,SCIENCE,FAIL,AY2017-18
2017-18,DC,PLAG,UG3,OL,EDSW,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,OL,SOBE,REME,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,SOBE,REME,AY2017-18
2017-18,NO1,PLAG,UG3,OL,SOBE,ASM0,AY2017-18
2017-18,NO2,CHEAT,UG3,KAM,ARTS,FAIL,AY2017-18
2017-18,NO2,PLAG,UPREP,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,MISC,UG1,OL,SCIENCE,REPR,AY2017-18
2017-18,NO3,MISC,UG1,KAM,ARTS,FAIL,AY2017-18
2017-18,NO1,PLAG,UG2,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG4,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,SOBE,FAIL,AY2017-18
2017-18,NO5,PLAG,UG4,OL,SOBE,FAIL,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,SUSP,AY2017-18
2017-18,NO1,CHEAT,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,SOBE,REME,AY2017-18
2017-18,NO4,PLAG,UG3,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,ARTS,REPR,AY2017-18
2017-18,NO2,PLAG,UPREP,KAM,ARTS,FAIL,AY2017-18
2017-18,NO1,PLAG,UG1,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,OL,EDSW,REPR,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,SOBE,REME,AY2017-18
2017-18,NO3,PLAG,UG3,KAM,SOBE,REME,AY2017-18
2017-18,NO1,PLAG,UG1,OL,ARTS,REPR,AY2017-18
2017-18,NO1,MISC,UG2,OL,ARTS,REME,AY2017-18
2017-18,NO1,CHEAT,UG2,OL,ARTS,ASM0,AY2017-18
2017-18,NO3,PLAG,UG4,OL,EDSW,REPR,AY2017-18
2017-18,GT5,CHEAT,UG4,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,MISC,UG1,KAM,ARTS,FAIL,AY2017-18
2017-18,NO1,PLAG,UG2,OL,SOBE,SUSP,AY2017-18
2017-18,NO1,CHEAT,UG1,KAM,ARTS,REME,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,FACT,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,SCIENCE,SUSP,AY2017-18
2017-18,NO4,PLAG,UG1,KAM,SCIENCE,FAIL,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO5,PLAG,UG2,KAM,ARTS,ASM0,AY2017-18
2017-18,NO4,PLAG,UG2,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,OL,ARTS,REME,AY2017-18
2017-18,NO2,CHEAT,UG1,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,SOBE,FAIL,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO2,PLAG,UG2,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO4,PLAG,UG2,OL,ARTS,SUSP,AY2017-18
2017-18,NO1,PLAG,UPREP,OL,SOBE,ASM0,AY2017-18
2017-18,NO2,CHEAT,UG3,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,SOBE,SUSP,AY2017-18
2017-18,NO1,PLAG,UG4,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG3,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,OL,SOBE,REPR,AY2017-18
2017-18,NO4,MISC,UG1,OL,SCIENCE,FAIL,AY2017-18
2017-18,NO2,PLAG,UG2,OL,ARTS,FAIL,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,SOBE,FAIL,AY2017-18
2017-18,NO1,PLAG,UG3,OL,LAW,ASM0,AY2017-18
2017-18,DC,CHEAT,UG3,KAM,EDSW,ASM0,AY2017-18
2017-18,NO2,PLAG,UG4,KAM,ARTS,REPR,AY2017-18
2017-18,NO1,PLAG,UG3,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,FABR,UG3,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG1,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,OL,SCIENCE,FAIL,AY2017-18
2017-18,NO1,PLAG,UG4,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,OL,ARTS,REME,AY2017-18
2017-18,NO1,PLAG,UG2,OL,SOBE,DISM,AY2017-18
2017-18,GT5,PLAG,UG1,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO5,PLAG,UG1,KAM,ARTS,SUSP,AY2017-18
2017-18,NO2,CHEAT,UPREP,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,LAW,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG1,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,FABR,UG2,KAM,ARTS,ASM0,AY2017-18
2017-18,NO4,PLAG,UG1,KAM,EDSW,ASM0,AY2017-18
2017-18,NO1,PLAG,UPREP,OL,ARTS,SUSP,AY2017-18
2017-18,NO1,CHEAT,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG4,KAM,SOBE,DISM,AY2017-18
2017-18,DC,CHEAT,UG1,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG1,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,SOBE,ASM0,AY2017-18
2017-18,NO2,PLAG,UG2,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,OL,ARTS,ASM0,AY2017-18
2017-18,DC,PLAG,UG2,OL,ARTS,FAIL,AY2017-18
2017-18,NO4,PLAG,UG3,KAM,FACT,ASM0,AY2017-18
2017-18,NO1,PLAG,UPREP,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,SOBE,REPR,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,OL,SOBE,FAIL,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,SOBE,REPR,AY2017-18
2017-18,NO1,PLAG,UPREP,KAM,SOBE,ASM0,AY2017-18
2017-18,NO4,CHEAT,UG2,KAM,SOBE,REPR,AY2017-18
2017-18,NO1,PLAG,UG3,OL,SOBE,ASM0,AY2017-18
2017-18,NO2,PLAG,UG3,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG4,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,OL,SOBE,REME,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UPREP,KAM,SCIENCE,FAIL,AY2017-18
2017-18,NO1,CHEAT,UG1,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,CHEAT,UPREP,OL,ARTS,REPR,AY2017-18
2017-18,NO3,CHEAT,UG1,KAM,ARTS,DISM,AY2017-18
2017-18,NO1,PLAG,UPREP,KAM,ARTS,FAIL,AY2017-18
2017-18,NO1,CHEAT,UG1,KAM,ARTS,SUSP,AY2017-18
2017-18,NO1,CHEAT,UG1,KAM,SCIENCE,ASM0,AY2017-18
2017-18,DC,CHEAT,UG1,OL,SCIENCE,ASM0,AY2017-18
2017-18,DC,PLAG,UG1,OL,SOBE,FAIL,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,SOBE,ASM0,AY2017-18
2017-18,DC,FABR,UG3,OL,ARTS,REPR,AY2017-18
2017-18,NO1,PLAG,UG1,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG1,KAM,ARTS,SUSP,AY2017-18
2017-18,DC,PLAG,UG3,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,OL,SOBE,REME,AY2017-18
2017-18,NO1,PLAG,UG3,OL,SCIENCE,REPR,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,FAIL,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG3,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG1,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,OL,ARTS,SUSP,AY2017-18
2017-18,NO2,PLAG,UG4,OL,SOBE,REPR,AY2017-18
2017-18,NO1,CHEAT,UG1,OL,SOBE,REME,AY2017-18
2017-18,NO1,PLAG,UG4,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO2,PLAG,UG3,KAM,SOBE,ASM0,AY2017-18
2017-18,NO3,CHEAT,UG3,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG1,OL,EDSW,DISM,AY2017-18
2017-18,NO3,PLAG,UG1,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG4,OL,SOBE,ASM0,AY2017-18
2017-18,NO2,PLAG,UG1,OL,ARTS,ASM0,AY2017-18
2017-18,NO3,CHEAT,UG1,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,SOBE,REPR,AY2017-18
2017-18,NO1,PLAG,UG1,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO1,CHEAT,UPREP,OL,SOBE,SUSP,AY2017-18
2017-18,DC,MISC,UG3,KAM,EDSW,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,FACT,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,SOBE,FAIL,AY2017-18
2017-18,NO1,CHEAT,UG1,OL,SOBE,ASM0,AY2017-18
2017-18,DC,PLAG,UG3,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO3,PLAG,UG1,OL,SCIENCE,ASM0,AY2017-18
2017-18,DC,CHEAT,UG1,OL,SOBE,REPR,AY2017-18
2017-18,NO1,PLAG,UG3,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,OL,SOBE,FAIL,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,ARTS,SUSP,AY2017-18
2017-18,NO1,MISC,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,CHEAT,UPREP,OL,LAW,ASM0,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,KAM,LAW,ASM0,AY2017-18
2017-18,NO4,CHEAT,UPREP,OL,ARTS,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG2,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG3,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,SCIENCE,SUSP,AY2017-18
2017-18,DC,PLAG,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO2,PLAG,UG2,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG3,KAM,SOBE,REPR,AY2017-18
2017-18,NO1,CHEAT,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO2,PLAG,UG3,KAM,ARTS,REME,AY2017-18
2017-18,NO3,PLAG,UG1,OL,EDSW,DISM,AY2017-18
2017-18,NO1,PLAG,UG1,OL,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UPREP,OL,SCIENCE,SUSP,AY2017-18
2017-18,NO2,FABR,UG2,OL,ARTS,ASM0,AY2017-18
2017-18,NO2,PLAG,UPREP,KAM,ARTS,ASM0,AY2017-18
2017-18,NO2,CHEAT,UG1,KAM,SOBE,FAIL,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,SCIENCE,ASM0,AY2017-18
2018-19,NO2,PLAG,UG2,OL,SCIENCE,ASM0,AY2018-19
2018-19,NO4,PLAG,UG3,OL,ARTS,ASM0,AY2018-19
2018-19,NO1,PLAG,UG2,OL,FACT,SUSP,AY2018-19
2018-19,NO1,CHEAT,UG3,OL,SOBE,ASM0,AY2018-19
2018-19,NO1,CHEAT,UG1,OL,EDSW,FAIL,AY2018-19
2018-19,NO2,MISC,UG1,OL,SCIENCE,DISM,AY2018-19
2018-19,NO1,CHEAT,UG1,KAM,SOBE,ASM0,AY2018-19
2018-19,NO1,PLAG,UPREP,KAM,FACT,FAIL,AY2018-19
2018-19,NO1,CHEAT,UG2,KAM,FACT,REPR,AY2018-19
